Geography,Sex,asd_prevalence
British Columbia,Male,0.040655671
British Columbia,Female,0.008827276
Alberta,Male,0.036237469
Alberta,Female,0.011173948
Saskatchewan,Male,0.012748996
Saskatchewan,Female,0.005963991
Manitoba,Male,0.033205596
Manitoba,Female,0.004810186
Ontario,Male,0.037967975
Ontario,Female,0.009240993
Quebec,Male,0.027928283
Quebec,Female,0.010629395
New Brunswick,Male,0.082408083
New Brunswick,Female,0.012107859
Nova Scotia,Male,0.026742265
Nova Scotia,Female,0.007313451
Prince Edward Island,Male,0.07421893
Prince Edward Island,Female,0.014843786
Newfoundland and Labrador,Male,0.044296573
Newfoundland and Labrador,Female,0.004147079
Nunavut,Male,0.0239
Nunavut,Female,0.006
Northwest Territories,Male,0.0239
Northwest Territories,Female,0.006
Yukon,Male,0.0128
Yukon,Female,0.0026