Geography,Sex,Year,Age_group,Rate
Newfoundland and Labrador,Male,2016,0 to 1,6
Newfoundland and Labrador,Male,2017,0 to 1,4.4
Newfoundland and Labrador,Male,2018,0 to 1,6.9
Newfoundland and Labrador,Male,2019,0 to 1,5.6
Newfoundland and Labrador,Male,2020,0 to 1,4.8
Newfoundland and Labrador,Female,2016,0 to 1,2.3
Newfoundland and Labrador,Female,2017,0 to 1,3.8
Newfoundland and Labrador,Female,2018,0 to 1,2.6
Newfoundland and Labrador,Female,2019,0 to 1,4.8
Newfoundland and Labrador,Female,2020,0 to 1,5
Prince Edward Island,Male,2016,0 to 1,5.5
Prince Edward Island,Male,2017,0 to 1,1.4
Prince Edward Island,Male,2018,0 to 1,1.5
Prince Edward Island,Male,2019,0 to 1,3
Prince Edward Island,Male,2020,0 to 1,1.5
Prince Edward Island,Female,2016,0 to 1,9
Prince Edward Island,Female,2017,0 to 1,4.5
Prince Edward Island,Female,2018,0 to 1,9.7
Prince Edward Island,Female,2019,0 to 1,4.5
Prince Edward Island,Female,2020,0 to 1,7.3
Nova Scotia,Male,2016,0 to 1,6.3
Nova Scotia,Male,2017,0 to 1,3.3
Nova Scotia,Male,2018,0 to 1,3.8
Nova Scotia,Male,2019,0 to 1,4.9
Nova Scotia,Male,2020,0 to 1,2.7
Nova Scotia,Female,2016,0 to 1,3.2
Nova Scotia,Female,2017,0 to 1,4.8
Nova Scotia,Female,2018,0 to 1,3.3
Nova Scotia,Female,2019,0 to 1,5.4
Nova Scotia,Female,2020,0 to 1,4.3
New Brunswick,Male,2016,0 to 1,2.9
New Brunswick,Male,2017,0 to 1,4.4
New Brunswick,Male,2018,0 to 1,3.4
New Brunswick,Male,2019,0 to 1,5.8
New Brunswick,Male,2020,0 to 1,5.9
New Brunswick,Female,2016,0 to 1,7.3
New Brunswick,Female,2017,0 to 1,1.2
New Brunswick,Female,2018,0 to 1,3.5
New Brunswick,Female,2019,0 to 1,2.6
New Brunswick,Female,2020,0 to 1,3.3
Quebec,Male,2016,0 to 1,4.2
Quebec,Male,2017,0 to 1,4.8
Quebec,Male,2018,0 to 1,4.4
Quebec,Male,2019,0 to 1,5.1
Quebec,Male,2020,0 to 1,4
Quebec,Female,2016,0 to 1,4.4
Quebec,Female,2017,0 to 1,3.4
Quebec,Female,2018,0 to 1,4.1
Quebec,Female,2019,0 to 1,3.2
Quebec,Female,2020,0 to 1,4
Ontario,Male,2016,0 to 1,5.2
Ontario,Male,2017,0 to 1,4.8
Ontario,Male,2018,0 to 1,4.9
Ontario,Male,2019,0 to 1,4.9
Ontario,Male,2020,0 to 1,4.7
Ontario,Female,2016,0 to 1,4.2
Ontario,Female,2017,0 to 1,4.6
Ontario,Female,2018,0 to 1,4.4
Ontario,Female,2019,0 to 1,4.3
Ontario,Female,2020,0 to 1,3.5
Manitoba,Male,2016,0 to 1,6.2
Manitoba,Male,2017,0 to 1,8.2
Manitoba,Male,2018,0 to 1,7.3
Manitoba,Male,2019,0 to 1,5.9
Manitoba,Male,2020,0 to 1,6.9
Manitoba,Female,2016,0 to 1,4.9
Manitoba,Female,2017,0 to 1,6.3
Manitoba,Female,2018,0 to 1,6
Manitoba,Female,2019,0 to 1,5.4
Manitoba,Female,2020,0 to 1,5.8
Saskatchewan,Male,2016,0 to 1,5.9
Saskatchewan,Male,2017,0 to 1,7.5
Saskatchewan,Male,2018,0 to 1,5.4
Saskatchewan,Male,2019,0 to 1,6
Saskatchewan,Male,2020,0 to 1,7.1
Saskatchewan,Female,2016,0 to 1,5.9
Saskatchewan,Female,2017,0 to 1,5.7
Saskatchewan,Female,2018,0 to 1,5.2
Saskatchewan,Female,2019,0 to 1,5.5
Saskatchewan,Female,2020,0 to 1,5.9
Alberta,Male,2016,0 to 1,4.5
Alberta,Male,2017,0 to 1,5.1
Alberta,Male,2018,0 to 1,6.2
Alberta,Male,2019,0 to 1,5.2
Alberta,Male,2020,0 to 1,5.4
Alberta,Female,2016,0 to 1,4.3
Alberta,Female,2017,0 to 1,4.7
Alberta,Female,2018,0 to 1,5
Alberta,Female,2019,0 to 1,3.7
Alberta,Female,2020,0 to 1,4.8
British Columbia,Male,2016,0 to 1,2.6
British Columbia,Male,2017,0 to 1,3.1
British Columbia,Male,2018,0 to 1,4.2
British Columbia,Male,2019,0 to 1,3.7
British Columbia,Male,2020,0 to 1,3.8
British Columbia,Female,2016,0 to 1,4.4
British Columbia,Female,2017,0 to 1,3
British Columbia,Female,2018,0 to 1,3.8
British Columbia,Female,2019,0 to 1,2.9
British Columbia,Female,2020,0 to 1,3.3
Northwest Territories,Male,2016,0 to 1,11.9
Northwest Territories,Male,2017,0 to 1,6.5
Northwest Territories,Male,2018,0 to 1,11.8
Northwest Territories,Male,2019,0 to 1,3.4
Northwest Territories,Male,2020,0 to 1,6.5
Northwest Territories,Female,2016,0 to 1,0
Northwest Territories,Female,2017,0 to 1,3.6
Northwest Territories,Female,2018,0 to 1,7.4
Northwest Territories,Female,2019,0 to 1,0
Northwest Territories,Female,2020,0 to 1,11.5
Nunavut,Male,2016,0 to 1,21.8
Nunavut,Male,2017,0 to 1,15.3
Nunavut,Male,2018,0 to 1,29.6
Nunavut,Male,2019,0 to 1,15.9
Nunavut,Male,2020,0 to 1,21.1
Nunavut,Female,2016,0 to 1,15.6
Nunavut,Female,2017,0 to 1,9.7
Nunavut,Female,2018,0 to 1,19.7
Nunavut,Female,2019,0 to 1,16.6
Nunavut,Female,2020,0 to 1,9.6
Newfoundland and Labrador,Male,2016,1 to 4,0.1
Newfoundland and Labrador,Male,2017,1 to 4,0
Newfoundland and Labrador,Male,2018,1 to 4,0.2
Newfoundland and Labrador,Male,2019,1 to 4,0.1
Newfoundland and Labrador,Male,2020,1 to 4,0.3
Newfoundland and Labrador,Female,2016,1 to 4,0.1
Newfoundland and Labrador,Female,2017,1 to 4,0.2
Newfoundland and Labrador,Female,2018,1 to 4,0.3
Newfoundland and Labrador,Female,2019,1 to 4,0
Newfoundland and Labrador,Female,2020,1 to 4,0
Prince Edward Island,Male,2016,1 to 4,0
Prince Edward Island,Male,2017,1 to 4,0
Prince Edward Island,Male,2018,1 to 4,0
Prince Edward Island,Male,2019,1 to 4,0
Prince Edward Island,Male,2020,1 to 4,0.6
Prince Edward Island,Female,2016,1 to 4,0
Prince Edward Island,Female,2017,1 to 4,0
Prince Edward Island,Female,2018,1 to 4,0
Prince Edward Island,Female,2019,1 to 4,0
Prince Edward Island,Female,2020,1 to 4,0
Nova Scotia,Male,2016,1 to 4,0.3
Nova Scotia,Male,2017,1 to 4,0.2
Nova Scotia,Male,2018,1 to 4,0.1
Nova Scotia,Male,2019,1 to 4,0.2
Nova Scotia,Male,2020,1 to 4,0.3
Nova Scotia,Female,2016,1 to 4,0.1
Nova Scotia,Female,2017,1 to 4,0.1
Nova Scotia,Female,2018,1 to 4,0.2
Nova Scotia,Female,2019,1 to 4,0.3
Nova Scotia,Female,2020,1 to 4,0.2
New Brunswick,Male,2016,1 to 4,0.1
New Brunswick,Male,2017,1 to 4,0.1
New Brunswick,Male,2018,1 to 4,0.1
New Brunswick,Male,2019,1 to 4,0.2
New Brunswick,Male,2020,1 to 4,0
New Brunswick,Female,2016,1 to 4,0.2
New Brunswick,Female,2017,1 to 4,0.1
New Brunswick,Female,2018,1 to 4,0.1
New Brunswick,Female,2019,1 to 4,0.1
New Brunswick,Female,2020,1 to 4,0.1
Quebec,Male,2016,1 to 4,0.2
Quebec,Male,2017,1 to 4,0.1
Quebec,Male,2018,1 to 4,0.1
Quebec,Male,2019,1 to 4,0.2
Quebec,Male,2020,1 to 4,0.1
Quebec,Female,2016,1 to 4,0.1
Quebec,Female,2017,1 to 4,0.1
Quebec,Female,2018,1 to 4,0.1
Quebec,Female,2019,1 to 4,0.1
Quebec,Female,2020,1 to 4,0.2
Ontario,Male,2016,1 to 4,0.2
Ontario,Male,2017,1 to 4,0.2
Ontario,Male,2018,1 to 4,0.2
Ontario,Male,2019,1 to 4,0.2
Ontario,Male,2020,1 to 4,0.2
Ontario,Female,2016,1 to 4,0.2
Ontario,Female,2017,1 to 4,0.1
Ontario,Female,2018,1 to 4,0.1
Ontario,Female,2019,1 to 4,0.1
Ontario,Female,2020,1 to 4,0.1
Manitoba,Male,2016,1 to 4,0.4
Manitoba,Male,2017,1 to 4,0.3
Manitoba,Male,2018,1 to 4,0.3
Manitoba,Male,2019,1 to 4,0.2
Manitoba,Male,2020,1 to 4,0.3
Manitoba,Female,2016,1 to 4,0.2
Manitoba,Female,2017,1 to 4,0.3
Manitoba,Female,2018,1 to 4,0.4
Manitoba,Female,2019,1 to 4,0.4
Manitoba,Female,2020,1 to 4,0.2
Saskatchewan,Male,2016,1 to 4,0.4
Saskatchewan,Male,2017,1 to 4,0.2
Saskatchewan,Male,2018,1 to 4,0.3
Saskatchewan,Male,2019,1 to 4,0.4
Saskatchewan,Male,2020,1 to 4,0.4
Saskatchewan,Female,2016,1 to 4,0.3
Saskatchewan,Female,2017,1 to 4,0.2
Saskatchewan,Female,2018,1 to 4,0.5
Saskatchewan,Female,2019,1 to 4,0.2
Saskatchewan,Female,2020,1 to 4,0.4
Alberta,Male,2016,1 to 4,0.2
Alberta,Male,2017,1 to 4,0.2
Alberta,Male,2018,1 to 4,0.2
Alberta,Male,2019,1 to 4,0.2
Alberta,Male,2020,1 to 4,0.1
Alberta,Female,2016,1 to 4,0.2
Alberta,Female,2017,1 to 4,0.2
Alberta,Female,2018,1 to 4,0.1
Alberta,Female,2019,1 to 4,0.1
Alberta,Female,2020,1 to 4,0.1
British Columbia,Male,2016,1 to 4,0.2
British Columbia,Male,2017,1 to 4,0.2
British Columbia,Male,2018,1 to 4,0.1
British Columbia,Male,2019,1 to 4,0.1
British Columbia,Male,2020,1 to 4,0.1
British Columbia,Female,2016,1 to 4,0.2
British Columbia,Female,2017,1 to 4,0.1
British Columbia,Female,2018,1 to 4,0.2
British Columbia,Female,2019,1 to 4,0.2
British Columbia,Female,2020,1 to 4,0.1
Northwest Territories,Male,2016,1 to 4,0.7
Northwest Territories,Male,2017,1 to 4,0
Northwest Territories,Male,2018,1 to 4,0
Northwest Territories,Male,2019,1 to 4,0
Northwest Territories,Male,2020,1 to 4,0
Northwest Territories,Female,2016,1 to 4,0
Northwest Territories,Female,2017,1 to 4,0
Northwest Territories,Female,2018,1 to 4,0
Northwest Territories,Female,2019,1 to 4,0
Northwest Territories,Female,2020,1 to 4,0
Nunavut,Male,2016,1 to 4,0.6
Nunavut,Male,2017,1 to 4,0
Nunavut,Male,2018,1 to 4,1.1
Nunavut,Male,2019,1 to 4,1.1
Nunavut,Male,2020,1 to 4,0.6
Nunavut,Female,2016,1 to 4,0.6
Nunavut,Female,2017,1 to 4,0.6
Nunavut,Female,2018,1 to 4,1.8
Nunavut,Female,2019,1 to 4,0.6
Nunavut,Female,2020,1 to 4,0
Newfoundland and Labrador,Male,2016,5 to 9,0.2
Newfoundland and Labrador,Male,2017,5 to 9,0.1
Newfoundland and Labrador,Male,2018,5 to 9,0.2
Newfoundland and Labrador,Male,2019,5 to 9,0.3
Newfoundland and Labrador,Male,2020,5 to 9,0.1
Newfoundland and Labrador,Female,2016,5 to 9,0.3
Newfoundland and Labrador,Female,2017,5 to 9,0.1
Newfoundland and Labrador,Female,2018,5 to 9,0.2
Newfoundland and Labrador,Female,2019,5 to 9,0.1
Newfoundland and Labrador,Female,2020,5 to 9,0.1
Prince Edward Island,Male,2016,5 to 9,0
Prince Edward Island,Male,2017,5 to 9,0.2
Prince Edward Island,Male,2018,5 to 9,0
Prince Edward Island,Male,2019,5 to 9,0.2
Prince Edward Island,Male,2020,5 to 9,0
Prince Edward Island,Female,2016,5 to 9,0
Prince Edward Island,Female,2017,5 to 9,0
Prince Edward Island,Female,2018,5 to 9,0
Prince Edward Island,Female,2019,5 to 9,0.5
Prince Edward Island,Female,2020,5 to 9,0
Nova Scotia,Male,2016,5 to 9,0
Nova Scotia,Male,2017,5 to 9,0.1
Nova Scotia,Male,2018,5 to 9,0.1
Nova Scotia,Male,2019,5 to 9,0
Nova Scotia,Male,2020,5 to 9,0.2
Nova Scotia,Female,2016,5 to 9,0.1
Nova Scotia,Female,2017,5 to 9,0
Nova Scotia,Female,2018,5 to 9,0.1
Nova Scotia,Female,2019,5 to 9,0.1
Nova Scotia,Female,2020,5 to 9,0
New Brunswick,Male,2016,5 to 9,0.1
New Brunswick,Male,2017,5 to 9,0.1
New Brunswick,Male,2018,5 to 9,0
New Brunswick,Male,2019,5 to 9,0
New Brunswick,Male,2020,5 to 9,0
New Brunswick,Female,2016,5 to 9,0
New Brunswick,Female,2017,5 to 9,0.2
New Brunswick,Female,2018,5 to 9,0.2
New Brunswick,Female,2019,5 to 9,0.1
New Brunswick,Female,2020,5 to 9,0.2
Quebec,Male,2016,5 to 9,0.1
Quebec,Male,2017,5 to 9,0.1
Quebec,Male,2018,5 to 9,0.1
Quebec,Male,2019,5 to 9,0.1
Quebec,Male,2020,5 to 9,0.1
Quebec,Female,2016,5 to 9,0.1
Quebec,Female,2017,5 to 9,0.1
Quebec,Female,2018,5 to 9,0.1
Quebec,Female,2019,5 to 9,0.1
Quebec,Female,2020,5 to 9,0.1
Ontario,Male,2016,5 to 9,0.1
Ontario,Male,2017,5 to 9,0.1
Ontario,Male,2018,5 to 9,0.1
Ontario,Male,2019,5 to 9,0.1
Ontario,Male,2020,5 to 9,0.1
Ontario,Female,2016,5 to 9,0.1
Ontario,Female,2017,5 to 9,0.1
Ontario,Female,2018,5 to 9,0.1
Ontario,Female,2019,5 to 9,0.1
Ontario,Female,2020,5 to 9,0.1
Manitoba,Male,2016,5 to 9,0.1
Manitoba,Male,2017,5 to 9,0.2
Manitoba,Male,2018,5 to 9,0.1
Manitoba,Male,2019,5 to 9,0.1
Manitoba,Male,2020,5 to 9,0.3
Manitoba,Female,2016,5 to 9,0.1
Manitoba,Female,2017,5 to 9,0.1
Manitoba,Female,2018,5 to 9,0.1
Manitoba,Female,2019,5 to 9,0.1
Manitoba,Female,2020,5 to 9,0.1
Saskatchewan,Male,2016,5 to 9,0.2
Saskatchewan,Male,2017,5 to 9,0.2
Saskatchewan,Male,2018,5 to 9,0.1
Saskatchewan,Male,2019,5 to 9,0
Saskatchewan,Male,2020,5 to 9,0.2
Saskatchewan,Female,2016,5 to 9,0.2
Saskatchewan,Female,2017,5 to 9,0.1
Saskatchewan,Female,2018,5 to 9,0.1
Saskatchewan,Female,2019,5 to 9,0.1
Saskatchewan,Female,2020,5 to 9,0.1
Alberta,Male,2016,5 to 9,0.1
Alberta,Male,2017,5 to 9,0.1
Alberta,Male,2018,5 to 9,0.1
Alberta,Male,2019,5 to 9,0.1
Alberta,Male,2020,5 to 9,0.1
Alberta,Female,2016,5 to 9,0.1
Alberta,Female,2017,5 to 9,0.1
Alberta,Female,2018,5 to 9,0.1
Alberta,Female,2019,5 to 9,0
Alberta,Female,2020,5 to 9,0.1
British Columbia,Male,2016,5 to 9,0.1
British Columbia,Male,2017,5 to 9,0.1
British Columbia,Male,2018,5 to 9,0.1
British Columbia,Male,2019,5 to 9,0.1
British Columbia,Male,2020,5 to 9,0.1
British Columbia,Female,2016,5 to 9,0.1
British Columbia,Female,2017,5 to 9,0.1
British Columbia,Female,2018,5 to 9,0.1
British Columbia,Female,2019,5 to 9,0.1
British Columbia,Female,2020,5 to 9,0.1
Northwest Territories,Male,2016,5 to 9,0
Northwest Territories,Male,2017,5 to 9,0
Northwest Territories,Male,2018,5 to 9,0
Northwest Territories,Male,2019,5 to 9,0
Northwest Territories,Male,2020,5 to 9,0
Northwest Territories,Female,2016,5 to 9,0
Northwest Territories,Female,2017,5 to 9,0
Northwest Territories,Female,2018,5 to 9,0
Northwest Territories,Female,2019,5 to 9,0
Northwest Territories,Female,2020,5 to 9,0.6
Nunavut,Male,2016,5 to 9,0
Nunavut,Male,2017,5 to 9,0
Nunavut,Male,2018,5 to 9,0
Nunavut,Male,2019,5 to 9,0
Nunavut,Male,2020,5 to 9,0.9
Nunavut,Female,2016,5 to 9,0.5
Nunavut,Female,2017,5 to 9,0
Nunavut,Female,2018,5 to 9,0
Nunavut,Female,2019,5 to 9,0
Nunavut,Female,2020,5 to 9,0
Newfoundland and Labrador,Male,2016,10 to 14,0.1
Newfoundland and Labrador,Male,2017,10 to 14,0.4
Newfoundland and Labrador,Male,2018,10 to 14,0.1
Newfoundland and Labrador,Male,2019,10 to 14,0.2
Newfoundland and Labrador,Male,2020,10 to 14,0.1
Newfoundland and Labrador,Female,2016,10 to 14,0.1
Newfoundland and Labrador,Female,2017,10 to 14,0.2
Newfoundland and Labrador,Female,2018,10 to 14,0.1
Newfoundland and Labrador,Female,2019,10 to 14,0.2
Newfoundland and Labrador,Female,2020,10 to 14,0.2
Prince Edward Island,Male,2016,10 to 14,0.3
Prince Edward Island,Male,2017,10 to 14,0.2
Prince Edward Island,Male,2018,10 to 14,0
Prince Edward Island,Male,2019,10 to 14,0
Prince Edward Island,Male,2020,10 to 14,0
Prince Edward Island,Female,2016,10 to 14,0
Prince Edward Island,Female,2017,10 to 14,0
Prince Edward Island,Female,2018,10 to 14,0
Prince Edward Island,Female,2019,10 to 14,0
Prince Edward Island,Female,2020,10 to 14,0
Nova Scotia,Male,2016,10 to 14,0.1
Nova Scotia,Male,2017,10 to 14,0
Nova Scotia,Male,2018,10 to 14,0
Nova Scotia,Male,2019,10 to 14,0.1
Nova Scotia,Male,2020,10 to 14,0.1
Nova Scotia,Female,2016,10 to 14,0.1
Nova Scotia,Female,2017,10 to 14,0.1
Nova Scotia,Female,2018,10 to 14,0.1
Nova Scotia,Female,2019,10 to 14,0.2
Nova Scotia,Female,2020,10 to 14,0.2
New Brunswick,Male,2016,10 to 14,0.2
New Brunswick,Male,2017,10 to 14,0.1
New Brunswick,Male,2018,10 to 14,0.2
New Brunswick,Male,2019,10 to 14,0
New Brunswick,Male,2020,10 to 14,0.1
New Brunswick,Female,2016,10 to 14,0.2
New Brunswick,Female,2017,10 to 14,0.2
New Brunswick,Female,2018,10 to 14,0
New Brunswick,Female,2019,10 to 14,0.1
New Brunswick,Female,2020,10 to 14,0.2
Quebec,Male,2016,10 to 14,0.1
Quebec,Male,2017,10 to 14,0.1
Quebec,Male,2018,10 to 14,0.1
Quebec,Male,2019,10 to 14,0.1
Quebec,Male,2020,10 to 14,0.1
Quebec,Female,2016,10 to 14,0.1
Quebec,Female,2017,10 to 14,0.1
Quebec,Female,2018,10 to 14,0.1
Quebec,Female,2019,10 to 14,0
Quebec,Female,2020,10 to 14,0.1
Ontario,Male,2016,10 to 14,0.1
Ontario,Male,2017,10 to 14,0.1
Ontario,Male,2018,10 to 14,0.1
Ontario,Male,2019,10 to 14,0.1
Ontario,Male,2020,10 to 14,0.1
Ontario,Female,2016,10 to 14,0.1
Ontario,Female,2017,10 to 14,0.1
Ontario,Female,2018,10 to 14,0.1
Ontario,Female,2019,10 to 14,0.1
Ontario,Female,2020,10 to 14,0.1
Manitoba,Male,2016,10 to 14,0.2
Manitoba,Male,2017,10 to 14,0.3
Manitoba,Male,2018,10 to 14,0.1
Manitoba,Male,2019,10 to 14,0.1
Manitoba,Male,2020,10 to 14,0.2
Manitoba,Female,2016,10 to 14,0.3
Manitoba,Female,2017,10 to 14,0.2
Manitoba,Female,2018,10 to 14,0.2
Manitoba,Female,2019,10 to 14,0.3
Manitoba,Female,2020,10 to 14,0.1
Saskatchewan,Male,2016,10 to 14,0.3
Saskatchewan,Male,2017,10 to 14,0.2
Saskatchewan,Male,2018,10 to 14,0.1
Saskatchewan,Male,2019,10 to 14,0.2
Saskatchewan,Male,2020,10 to 14,0.3
Saskatchewan,Female,2016,10 to 14,0.3
Saskatchewan,Female,2017,10 to 14,0
Saskatchewan,Female,2018,10 to 14,0.3
Saskatchewan,Female,2019,10 to 14,0.2
Saskatchewan,Female,2020,10 to 14,0.2
Alberta,Male,2016,10 to 14,0.2
Alberta,Male,2017,10 to 14,0.1
Alberta,Male,2018,10 to 14,0.1
Alberta,Male,2019,10 to 14,0.1
Alberta,Male,2020,10 to 14,0.2
Alberta,Female,2016,10 to 14,0.1
Alberta,Female,2017,10 to 14,0.1
Alberta,Female,2018,10 to 14,0.1
Alberta,Female,2019,10 to 14,0.1
Alberta,Female,2020,10 to 14,0.1
British Columbia,Male,2016,10 to 14,0.1
British Columbia,Male,2017,10 to 14,0.1
British Columbia,Male,2018,10 to 14,0.1
British Columbia,Male,2019,10 to 14,0.1
British Columbia,Male,2020,10 to 14,0
British Columbia,Female,2016,10 to 14,0.1
British Columbia,Female,2017,10 to 14,0.1
British Columbia,Female,2018,10 to 14,0.1
British Columbia,Female,2019,10 to 14,0.1
British Columbia,Female,2020,10 to 14,0.1
Northwest Territories,Male,2016,10 to 14,0
Northwest Territories,Male,2017,10 to 14,0
Northwest Territories,Male,2018,10 to 14,0
Northwest Territories,Male,2019,10 to 14,0
Northwest Territories,Male,2020,10 to 14,0
Northwest Territories,Female,2016,10 to 14,0.7
Northwest Territories,Female,2017,10 to 14,0
Northwest Territories,Female,2018,10 to 14,0
Northwest Territories,Female,2019,10 to 14,0.7
Northwest Territories,Female,2020,10 to 14,0
Nunavut,Male,2016,10 to 14,0
Nunavut,Male,2017,10 to 14,0.6
Nunavut,Male,2018,10 to 14,1.6
Nunavut,Male,2019,10 to 14,1
Nunavut,Male,2020,10 to 14,0
Nunavut,Female,2016,10 to 14,0
Nunavut,Female,2017,10 to 14,0
Nunavut,Female,2018,10 to 14,0.6
Nunavut,Female,2019,10 to 14,1.6
Nunavut,Female,2020,10 to 14,0.5
Newfoundland and Labrador,Male,2016,15 to 19,0.5
Newfoundland and Labrador,Male,2017,15 to 19,0.3
Newfoundland and Labrador,Male,2018,15 to 19,0.3
Newfoundland and Labrador,Male,2019,15 to 19,0.4
Newfoundland and Labrador,Male,2020,15 to 19,0.6
Newfoundland and Labrador,Female,2016,15 to 19,0.4
Newfoundland and Labrador,Female,2017,15 to 19,0.7
Newfoundland and Labrador,Female,2018,15 to 19,0.2
Newfoundland and Labrador,Female,2019,15 to 19,0.3
Newfoundland and Labrador,Female,2020,15 to 19,0.2
Prince Edward Island,Male,2016,15 to 19,0
Prince Edward Island,Male,2017,15 to 19,0
Prince Edward Island,Male,2018,15 to 19,0.7
Prince Edward Island,Male,2019,15 to 19,0
Prince Edward Island,Male,2020,15 to 19,0.2
Prince Edward Island,Female,2016,15 to 19,0.2
Prince Edward Island,Female,2017,15 to 19,0.2
Prince Edward Island,Female,2018,15 to 19,0.5
Prince Edward Island,Female,2019,15 to 19,0.2
Prince Edward Island,Female,2020,15 to 19,0.2
Nova Scotia,Male,2016,15 to 19,0.5
Nova Scotia,Male,2017,15 to 19,0.4
Nova Scotia,Male,2018,15 to 19,0.3
Nova Scotia,Male,2019,15 to 19,0.7
Nova Scotia,Male,2020,15 to 19,0.4
Nova Scotia,Female,2016,15 to 19,0.4
Nova Scotia,Female,2017,15 to 19,0.3
Nova Scotia,Female,2018,15 to 19,0.4
Nova Scotia,Female,2019,15 to 19,0.2
Nova Scotia,Female,2020,15 to 19,0.4
New Brunswick,Male,2016,15 to 19,0.7
New Brunswick,Male,2017,15 to 19,0.3
New Brunswick,Male,2018,15 to 19,0.9
New Brunswick,Male,2019,15 to 19,0.8
New Brunswick,Male,2020,15 to 19,0.6
New Brunswick,Female,2016,15 to 19,0.3
New Brunswick,Female,2017,15 to 19,0.4
New Brunswick,Female,2018,15 to 19,0.2
New Brunswick,Female,2019,15 to 19,0.3
New Brunswick,Female,2020,15 to 19,0.2
Quebec,Male,2016,15 to 19,0.3
Quebec,Male,2017,15 to 19,0.4
Quebec,Male,2018,15 to 19,0.3
Quebec,Male,2019,15 to 19,0.3
Quebec,Male,2020,15 to 19,0.3
